"walk","migratory.class","Freq","behavior"
"4","resident",5,"Inactivity spring"
"4","resident",0,"Inactivity summer"
"5","resident",3,"Inactivity spring"
"5","resident",0,"Inactivity summer"
"6","resident",0,"Inactivity spring"
"6","resident",0,"Inactivity summer"
"7","resident",1,"Inactivity spring"
"7","resident",0,"Inactivity summer"
"8","resident",1,"Inactivity spring"
"8","resident",0,"Inactivity summer"
"9","resident",0,"Inactivity spring"
"9","resident",0,"Inactivity summer"
"10","resident",5,"Inactivity spring"
"10","resident",0,"Inactivity summer"
"11","resident",0,"Inactivity spring"
"11","resident",0,"Inactivity summer"
"12","resident",0,"Inactivity spring"
"12","resident",0,"Inactivity summer"
"13","resident",2,"Inactivity spring"
"13","resident",0,"Inactivity summer"
"14","resident",1,"Inactivity spring"
"14","resident",0,"Inactivity summer"
"15","resident",2,"Inactivity spring"
"15","resident",0,"Inactivity summer"
"16","resident",4,"Inactivity spring"
"16","resident",0,"Inactivity summer"
"17","resident",2,"Inactivity spring"
"17","resident",0,"Inactivity summer"
"18","resident",0,"Inactivity spring"
"18","resident",0,"Inactivity summer"
"19","resident",1,"Inactivity spring"
"19","resident",0,"Inactivity summer"
"20","resident",2,"Inactivity spring"
"20","resident",0,"Inactivity summer"
"21","resident",1,"Inactivity spring"
"21","resident",0,"Inactivity summer"
"22","resident",0,"Inactivity spring"
"22","resident",0,"Inactivity summer"
"23","resident",1,"Inactivity spring"
"23","resident",0,"Inactivity summer"
"24","resident",0,"Inactivity spring"
"24","resident",0,"Inactivity summer"
"25","resident",4,"Inactivity spring"
"25","resident",0,"Inactivity summer"
"26","resident",2,"Inactivity spring"
"26","resident",0,"Inactivity summer"
"27","resident",0,"Inactivity spring"
"27","resident",2,"Inactivity summer"
"28","resident",0,"Inactivity spring"
"28","resident",2,"Inactivity summer"
"29","resident",0,"Inactivity spring"
"29","resident",2,"Inactivity summer"
"30","resident",0,"Inactivity spring"
"30","resident",3,"Inactivity summer"
"31","resident",0,"Inactivity spring"
"31","resident",2,"Inactivity summer"
"32","resident",0,"Inactivity spring"
"32","resident",9,"Inactivity summer"
"33","resident",0,"Inactivity spring"
"33","resident",2,"Inactivity summer"
"34","resident",0,"Inactivity spring"
"34","resident",2,"Inactivity summer"
"35","resident",0,"Inactivity spring"
"35","resident",0,"Inactivity summer"
"36","resident",0,"Inactivity spring"
"36","resident",2,"Inactivity summer"
"37","resident",0,"Inactivity spring"
"37","resident",0,"Inactivity summer"
"38","resident",0,"Inactivity spring"
"38","resident",0,"Inactivity summer"
"39","resident",0,"Inactivity spring"
"39","resident",0,"Inactivity summer"
"40","resident",0,"Inactivity spring"
"40","resident",0,"Inactivity summer"
"41","resident",0,"Inactivity spring"
"41","resident",0,"Inactivity summer"
"42","resident",0,"Inactivity spring"
"42","resident",10,"Inactivity summer"
"43","resident",0,"Inactivity spring"
"43","resident",0,"Inactivity summer"
"44","resident",0,"Inactivity spring"
"44","resident",3,"Inactivity summer"
"45","resident",0,"Inactivity spring"
"45","resident",0,"Inactivity summer"
"46","resident",0,"Inactivity spring"
"46","resident",4,"Inactivity summer"
"47","resident",0,"Inactivity spring"
"47","resident",0,"Inactivity summer"
"1","resident",4,"Territorial/mating spring"
"1","resident",0,"Territorial/mating summer"
"2","resident",4,"Territorial/mating spring"
"2","resident",0,"Territorial/mating summer"
"3","resident",5,"Territorial/mating spring"
"3","resident",0,"Territorial/mating summer"
"4","resident",14,"Territorial/mating spring"
"4","resident",0,"Territorial/mating summer"
"5","resident",7,"Territorial/mating spring"
"5","resident",0,"Territorial/mating summer"
"6","resident",6,"Territorial/mating spring"
"6","resident",0,"Territorial/mating summer"
"7","resident",3,"Territorial/mating spring"
"7","resident",0,"Territorial/mating summer"
"8","resident",7,"Territorial/mating spring"
"8","resident",0,"Territorial/mating summer"
"9","resident",16,"Territorial/mating spring"
"9","resident",0,"Territorial/mating summer"
"10","resident",12,"Territorial/mating spring"
"10","resident",0,"Territorial/mating summer"
"11","resident",15,"Territorial/mating spring"
"11","resident",0,"Territorial/mating summer"
"12","resident",11,"Territorial/mating spring"
"12","resident",0,"Territorial/mating summer"
"13","resident",1,"Territorial/mating spring"
"13","resident",0,"Territorial/mating summer"
"14","resident",5,"Territorial/mating spring"
"14","resident",0,"Territorial/mating summer"
"15","resident",16,"Territorial/mating spring"
"15","resident",0,"Territorial/mating summer"
"16","resident",4,"Territorial/mating spring"
"16","resident",0,"Territorial/mating summer"
"17","resident",4,"Territorial/mating spring"
"17","resident",0,"Territorial/mating summer"
"18","resident",4,"Territorial/mating spring"
"18","resident",0,"Territorial/mating summer"
"19","resident",7,"Territorial/mating spring"
"19","resident",0,"Territorial/mating summer"
"20","resident",15,"Territorial/mating spring"
"20","resident",0,"Territorial/mating summer"
"21","resident",11,"Territorial/mating spring"
"21","resident",0,"Territorial/mating summer"
"22","resident",5,"Territorial/mating spring"
"22","resident",0,"Territorial/mating summer"
"23","resident",2,"Territorial/mating spring"
"23","resident",0,"Territorial/mating summer"
"24","resident",7,"Territorial/mating spring"
"24","resident",0,"Territorial/mating summer"
"25","resident",1,"Territorial/mating spring"
"25","resident",0,"Territorial/mating summer"
"26","resident",2,"Territorial/mating spring"
"26","resident",0,"Territorial/mating summer"
"27","resident",0,"Territorial/mating spring"
"27","resident",5,"Territorial/mating summer"
"28","resident",0,"Territorial/mating spring"
"28","resident",9,"Territorial/mating summer"
"29","resident",0,"Territorial/mating spring"
"29","resident",6,"Territorial/mating summer"
"30","resident",0,"Territorial/mating spring"
"30","resident",3,"Territorial/mating summer"
"31","resident",0,"Territorial/mating spring"
"31","resident",0,"Territorial/mating summer"
"32","resident",0,"Territorial/mating spring"
"32","resident",1,"Territorial/mating summer"
"33","resident",0,"Territorial/mating spring"
"33","resident",11,"Territorial/mating summer"
"34","resident",0,"Territorial/mating spring"
"34","resident",3,"Territorial/mating summer"
"35","resident",0,"Territorial/mating spring"
"35","resident",0,"Territorial/mating summer"
"36","resident",0,"Territorial/mating spring"
"36","resident",1,"Territorial/mating summer"
"37","resident",0,"Territorial/mating spring"
"37","resident",8,"Territorial/mating summer"
"38","resident",0,"Territorial/mating spring"
"38","resident",4,"Territorial/mating summer"
"39","resident",0,"Territorial/mating spring"
"39","resident",0,"Territorial/mating summer"
"40","resident",0,"Territorial/mating spring"
"40","resident",5,"Territorial/mating summer"
"41","resident",0,"Territorial/mating spring"
"41","resident",0,"Territorial/mating summer"
"42","resident",0,"Territorial/mating spring"
"42","resident",1,"Territorial/mating summer"
"43","resident",0,"Territorial/mating spring"
"43","resident",1,"Territorial/mating summer"
"44","resident",0,"Territorial/mating spring"
"44","resident",6,"Territorial/mating summer"
"45","resident",0,"Territorial/mating spring"
"45","resident",4,"Territorial/mating summer"
"46","resident",0,"Territorial/mating spring"
"46","resident",2,"Territorial/mating summer"
"47","resident",0,"Territorial/mating spring"
"47","resident",3,"Territorial/mating summer"
"1","summer resident",1,"Active movement spring"
"1","summer resident",0,"Active movement summer"
"2","summer resident",2,"Active movement spring"
"2","summer resident",0,"Active movement summer"
"3","summer resident",3,"Active movement spring"
"3","summer resident",0,"Active movement summer"
"4","summer resident",3,"Active movement spring"
"4","summer resident",0,"Active movement summer"
"5","summer resident",2,"Active movement spring"
"5","summer resident",0,"Active movement summer"
"6","summer resident",1,"Active movement spring"
"6","summer resident",0,"Active movement summer"
"7","summer resident",1,"Active movement spring"
"7","summer resident",0,"Active movement summer"
"8","summer resident",0,"Active movement spring"
"8","summer resident",0,"Active movement summer"
"9","summer resident",1,"Active movement spring"
"9","summer resident",0,"Active movement summer"
"10","summer resident",1,"Active movement spring"
"10","summer resident",0,"Active movement summer"
"11","summer resident",1,"Active movement spring"
"11","summer resident",0,"Active movement summer"
"12","summer resident",1,"Active movement spring"
"12","summer resident",0,"Active movement summer"
"13","summer resident",1,"Active movement spring"
"13","summer resident",0,"Active movement summer"
"14","summer resident",0,"Active movement spring"
"14","summer resident",0,"Active movement summer"
"15","summer resident",0,"Active movement spring"
"15","summer resident",0,"Active movement summer"
"16","summer resident",4,"Active movement spring"
"16","summer resident",0,"Active movement summer"
"17","summer resident",3,"Active movement spring"
"17","summer resident",0,"Active movement summer"
"18","summer resident",0,"Active movement spring"
"18","summer resident",0,"Active movement summer"
"19","summer resident",0,"Active movement spring"
"19","summer resident",0,"Active movement summer"
"20","summer resident",2,"Active movement spring"
"20","summer resident",0,"Active movement summer"
"21","summer resident",0,"Active movement spring"
"21","summer resident",0,"Active movement summer"
"22","summer resident",7,"Active movement spring"
"22","summer resident",0,"Active movement summer"
"23","summer resident",1,"Active movement spring"
"23","summer resident",0,"Active movement summer"
"24","summer resident",1,"Active movement spring"
"24","summer resident",0,"Active movement summer"
"25","summer resident",0,"Active movement spring"
"25","summer resident",0,"Active movement summer"
"26","summer resident",2,"Active movement spring"
"26","summer resident",0,"Active movement summer"
"27","summer resident",0,"Active movement spring"
"27","summer resident",0,"Active movement summer"
"28","summer resident",0,"Active movement spring"
"28","summer resident",2,"Active movement summer"
"29","summer resident",0,"Active movement spring"
"29","summer resident",0,"Active movement summer"
"30","summer resident",0,"Active movement spring"
"30","summer resident",0,"Active movement summer"
"31","summer resident",0,"Active movement spring"
"31","summer resident",0,"Active movement summer"
"32","summer resident",0,"Active movement spring"
"32","summer resident",0,"Active movement summer"
"33","summer resident",0,"Active movement spring"
"33","summer resident",0,"Active movement summer"
"34","summer resident",0,"Active movement spring"
"34","summer resident",0,"Active movement summer"
"35","summer resident",0,"Active movement spring"
"35","summer resident",0,"Active movement summer"
"36","summer resident",0,"Active movement spring"
"36","summer resident",0,"Active movement summer"
"37","summer resident",0,"Active movement spring"
"37","summer resident",0,"Active movement summer"
"38","summer resident",0,"Active movement spring"
"38","summer resident",0,"Active movement summer"
"39","summer resident",0,"Active movement spring"
"39","summer resident",0,"Active movement summer"
"40","summer resident",0,"Active movement spring"
"40","summer resident",2,"Active movement summer"
"41","summer resident",0,"Active movement spring"
"41","summer resident",2,"Active movement summer"
"42","summer resident",0,"Active movement spring"
"42","summer resident",0,"Active movement summer"
"43","summer resident",0,"Active movement spring"
"43","summer resident",1,"Active movement summer"
"44","summer resident",0,"Active movement spring"
"44","summer resident",0,"Active movement summer"
"45","summer resident",0,"Active movement spring"
"45","summer resident",0,"Active movement summer"
"46","summer resident",0,"Active movement spring"
"46","summer resident",0,"Active movement summer"
"47","summer resident",0,"Active movement spring"
"47","summer resident",0,"Active movement summer"
"1","summer resident",0,"Cleaning spring"
"1","summer resident",0,"Cleaning summer"
"2","summer resident",0,"Cleaning spring"
"2","summer resident",0,"Cleaning summer"
"3","summer resident",0,"Cleaning spring"
"3","summer resident",0,"Cleaning summer"
"4","summer resident",0,"Cleaning spring"
"4","summer resident",0,"Cleaning summer"
"5","summer resident",0,"Cleaning spring"
"5","summer resident",0,"Cleaning summer"
"6","summer resident",0,"Cleaning spring"
"6","summer resident",0,"Cleaning summer"
"7","summer resident",0,"Cleaning spring"
"7","summer resident",0,"Cleaning summer"
"8","summer resident",0,"Cleaning spring"
"8","summer resident",0,"Cleaning summer"
"9","summer resident",0,"Cleaning spring"
"9","summer resident",0,"Cleaning summer"
"10","summer resident",0,"Cleaning spring"
"10","summer resident",0,"Cleaning summer"
"11","summer resident",0,"Cleaning spring"
"11","summer resident",0,"Cleaning summer"
"12","summer resident",0,"Cleaning spring"
"12","summer resident",0,"Cleaning summer"
"13","summer resident",0,"Cleaning spring"
"13","summer resident",0,"Cleaning summer"
"14","summer resident",0,"Cleaning spring"
"14","summer resident",0,"Cleaning summer"
"15","summer resident",0,"Cleaning spring"
"15","summer resident",0,"Cleaning summer"
"16","summer resident",0,"Cleaning spring"
"16","summer resident",0,"Cleaning summer"
"17","summer resident",0,"Cleaning spring"
"17","summer resident",0,"Cleaning summer"
"18","summer resident",0,"Cleaning spring"
"18","summer resident",0,"Cleaning summer"
"19","summer resident",0,"Cleaning spring"
"19","summer resident",0,"Cleaning summer"
"20","summer resident",0,"Cleaning spring"
"20","summer resident",0,"Cleaning summer"
"21","summer resident",0,"Cleaning spring"
"21","summer resident",0,"Cleaning summer"
"22","summer resident",0,"Cleaning spring"
"22","summer resident",0,"Cleaning summer"
"23","summer resident",0,"Cleaning spring"
"23","summer resident",0,"Cleaning summer"
"24","summer resident",2,"Cleaning spring"
"24","summer resident",0,"Cleaning summer"
"25","summer resident",0,"Cleaning spring"
"25","summer resident",0,"Cleaning summer"
"26","summer resident",0,"Cleaning spring"
"26","summer resident",0,"Cleaning summer"
"27","summer resident",0,"Cleaning spring"
"27","summer resident",1,"Cleaning summer"
"28","summer resident",0,"Cleaning spring"
"28","summer resident",0,"Cleaning summer"
"29","summer resident",0,"Cleaning spring"
"29","summer resident",0,"Cleaning summer"
"30","summer resident",0,"Cleaning spring"
"30","summer resident",0,"Cleaning summer"
"31","summer resident",0,"Cleaning spring"
"31","summer resident",0,"Cleaning summer"
"32","summer resident",0,"Cleaning spring"
"32","summer resident",0,"Cleaning summer"
"33","summer resident",0,"Cleaning spring"
"33","summer resident",0,"Cleaning summer"
"34","summer resident",0,"Cleaning spring"
"34","summer resident",0,"Cleaning summer"
"35","summer resident",0,"Cleaning spring"
"35","summer resident",0,"Cleaning summer"
"36","summer resident",0,"Cleaning spring"
"36","summer resident",0,"Cleaning summer"
"37","summer resident",0,"Cleaning spring"
"37","summer resident",0,"Cleaning summer"
"38","summer resident",0,"Cleaning spring"
"38","summer resident",0,"Cleaning summer"
"39","summer resident",0,"Cleaning spring"
"39","summer resident",0,"Cleaning summer"
"40","summer resident",0,"Cleaning spring"
"40","summer resident",0,"Cleaning summer"
"41","summer resident",0,"Cleaning spring"
"41","summer resident",0,"Cleaning summer"
"42","summer resident",0,"Cleaning spring"
"42","summer resident",0,"Cleaning summer"
"43","summer resident",0,"Cleaning spring"
"43","summer resident",0,"Cleaning summer"
"44","summer resident",0,"Cleaning spring"
"44","summer resident",0,"Cleaning summer"
"45","summer resident",0,"Cleaning spring"
"45","summer resident",0,"Cleaning summer"
"46","summer resident",0,"Cleaning spring"
"46","summer resident",0,"Cleaning summer"
"47","summer resident",0,"Cleaning spring"
"47","summer resident",0,"Cleaning summer"
"1","summer resident",1,"Feeding spring"
"1","summer resident",0,"Feeding summer"
"2","summer resident",0,"Feeding spring"
"2","summer resident",0,"Feeding summer"
"3","summer resident",0,"Feeding spring"
"3","summer resident",0,"Feeding summer"
"4","summer resident",1,"Feeding spring"
"4","summer resident",0,"Feeding summer"
"5","summer resident",1,"Feeding spring"
"5","summer resident",0,"Feeding summer"
"6","summer resident",0,"Feeding spring"
"6","summer resident",0,"Feeding summer"
"7","summer resident",0,"Feeding spring"
"7","summer resident",0,"Feeding summer"
"8","summer resident",1,"Feeding spring"
"8","summer resident",0,"Feeding summer"
"9","summer resident",0,"Feeding spring"
"9","summer resident",0,"Feeding summer"
"10","summer resident",0,"Feeding spring"
"10","summer resident",0,"Feeding summer"
"11","summer resident",1,"Feeding spring"
"11","summer resident",0,"Feeding summer"
"12","summer resident",1,"Feeding spring"
"12","summer resident",0,"Feeding summer"
"13","summer resident",0,"Feeding spring"
"13","summer resident",0,"Feeding summer"
"14","summer resident",0,"Feeding spring"
"14","summer resident",0,"Feeding summer"
"15","summer resident",2,"Feeding spring"
"15","summer resident",0,"Feeding summer"
"16","summer resident",0,"Feeding spring"
"16","summer resident",0,"Feeding summer"
"17","summer resident",1,"Feeding spring"
"17","summer resident",0,"Feeding summer"
"18","summer resident",1,"Feeding spring"
"18","summer resident",0,"Feeding summer"
"19","summer resident",0,"Feeding spring"
"19","summer resident",0,"Feeding summer"
"20","summer resident",0,"Feeding spring"
"20","summer resident",0,"Feeding summer"
"21","summer resident",4,"Feeding spring"
"21","summer resident",0,"Feeding summer"
"22","summer resident",1,"Feeding spring"
"22","summer resident",0,"Feeding summer"
"23","summer resident",1,"Feeding spring"
"23","summer resident",0,"Feeding summer"
"24","summer resident",0,"Feeding spring"
"24","summer resident",0,"Feeding summer"
"25","summer resident",0,"Feeding spring"
"25","summer resident",0,"Feeding summer"
"26","summer resident",0,"Feeding spring"
"26","summer resident",0,"Feeding summer"
"27","summer resident",0,"Feeding spring"
"27","summer resident",0,"Feeding summer"
"28","summer resident",0,"Feeding spring"
"28","summer resident",0,"Feeding summer"
"29","summer resident",0,"Feeding spring"
"29","summer resident",1,"Feeding summer"
"30","summer resident",0,"Feeding spring"
"30","summer resident",0,"Feeding summer"
"31","summer resident",0,"Feeding spring"
"31","summer resident",0,"Feeding summer"
"32","summer resident",0,"Feeding spring"
"32","summer resident",0,"Feeding summer"
"33","summer resident",0,"Feeding spring"
"33","summer resident",0,"Feeding summer"
"34","summer resident",0,"Feeding spring"
"34","summer resident",0,"Feeding summer"
"35","summer resident",0,"Feeding spring"
"35","summer resident",0,"Feeding summer"
"36","summer resident",0,"Feeding spring"
"36","summer resident",3,"Feeding summer"
"37","summer resident",0,"Feeding spring"
"37","summer resident",0,"Feeding summer"
"38","summer resident",0,"Feeding spring"
"38","summer resident",0,"Feeding summer"
"39","summer resident",0,"Feeding spring"
"39","summer resident",0,"Feeding summer"
"40","summer resident",0,"Feeding spring"
"40","summer resident",0,"Feeding summer"
"41","summer resident",0,"Feeding spring"
"41","summer resident",0,"Feeding summer"
"42","summer resident",0,"Feeding spring"
"42","summer resident",0,"Feeding summer"
"43","summer resident",0,"Feeding spring"
"43","summer resident",0,"Feeding summer"
"44","summer resident",0,"Feeding spring"
"44","summer resident",0,"Feeding summer"
"45","summer resident",0,"Feeding spring"
"45","summer resident",0,"Feeding summer"
"46","summer resident",0,"Feeding spring"
"46","summer resident",0,"Feeding summer"
"47","summer resident",0,"Feeding spring"
"47","summer resident",0,"Feeding summer"
"1","summer resident",4,"Inactivity spring"
"1","summer resident",0,"Inactivity summer"
"2","summer resident",0,"Inactivity spring"
"2","summer resident",0,"Inactivity summer"
"3","summer resident",1,"Inactivity spring"
"3","summer resident",0,"Inactivity summer"
"4","summer resident",0,"Inactivity spring"
"4","summer resident",0,"Inactivity summer"
"5","summer resident",1,"Inactivity spring"
"5","summer resident",0,"Inactivity summer"
"6","summer resident",1,"Inactivity spring"
"6","summer resident",0,"Inactivity summer"
"7","summer resident",0,"Inactivity spring"
"7","summer resident",0,"Inactivity summer"
"8","summer resident",2,"Inactivity spring"
"8","summer resident",0,"Inactivity summer"
"9","summer resident",1,"Inactivity spring"
"9","summer resident",0,"Inactivity summer"
"10","summer resident",0,"Inactivity spring"
"10","summer resident",0,"Inactivity summer"
"11","summer resident",1,"Inactivity spring"
"11","summer resident",0,"Inactivity summer"
"12","summer resident",0,"Inactivity spring"
"12","summer resident",0,"Inactivity summer"
"13","summer resident",1,"Inactivity spring"
"13","summer resident",0,"Inactivity summer"
"14","summer resident",1,"Inactivity spring"
"14","summer resident",0,"Inactivity summer"
"15","summer resident",0,"Inactivity spring"
"15","summer resident",0,"Inactivity summer"
"16","summer resident",1,"Inactivity spring"
"16","summer resident",0,"Inactivity summer"
"17","summer resident",1,"Inactivity spring"
"17","summer resident",0,"Inactivity summer"
"18","summer resident",1,"Inactivity spring"
"18","summer resident",0,"Inactivity summer"
"19","summer resident",0,"Inactivity spring"
"19","summer resident",0,"Inactivity summer"
"20","summer resident",1,"Inactivity spring"
"20","summer resident",0,"Inactivity summer"
"21","summer resident",1,"Inactivity spring"
"21","summer resident",0,"Inactivity summer"
"22","summer resident",0,"Inactivity spring"
"22","summer resident",0,"Inactivity summer"
"23","summer resident",0,"Inactivity spring"
"23","summer resident",0,"Inactivity summer"
"24","summer resident",1,"Inactivity spring"
"24","summer resident",0,"Inactivity summer"
"25","summer resident",0,"Inactivity spring"
"25","summer resident",0,"Inactivity summer"
"26","summer resident",0,"Inactivity spring"
"26","summer resident",0,"Inactivity summer"
"27","summer resident",0,"Inactivity spring"
"27","summer resident",0,"Inactivity summer"
"28","summer resident",0,"Inactivity spring"
"28","summer resident",0,"Inactivity summer"
"29","summer resident",0,"Inactivity spring"
"29","summer resident",0,"Inactivity summer"
"30","summer resident",0,"Inactivity spring"
"30","summer resident",0,"Inactivity summer"
"31","summer resident",0,"Inactivity spring"
"31","summer resident",0,"Inactivity summer"
"32","summer resident",0,"Inactivity spring"
"32","summer resident",0,"Inactivity summer"
"33","summer resident",0,"Inactivity spring"
"33","summer resident",0,"Inactivity summer"
"34","summer resident",0,"Inactivity spring"
"34","summer resident",0,"Inactivity summer"
"35","summer resident",0,"Inactivity spring"
"35","summer resident",0,"Inactivity summer"
"36","summer resident",0,"Inactivity spring"
"36","summer resident",0,"Inactivity summer"
"37","summer resident",0,"Inactivity spring"
"37","summer resident",0,"Inactivity summer"
"38","summer resident",0,"Inactivity spring"
"38","summer resident",0,"Inactivity summer"
"39","summer resident",0,"Inactivity spring"
"39","summer resident",0,"Inactivity summer"
"40","summer resident",0,"Inactivity spring"
"40","summer resident",0,"Inactivity summer"
"41","summer resident",0,"Inactivity spring"
"41","summer resident",0,"Inactivity summer"
"42","summer resident",0,"Inactivity spring"
"42","summer resident",0,"Inactivity summer"
"43","summer resident",0,"Inactivity spring"
"43","summer resident",0,"Inactivity summer"
"44","summer resident",0,"Inactivity spring"
"44","summer resident",0,"Inactivity summer"
"45","summer resident",0,"Inactivity spring"
"45","summer resident",0,"Inactivity summer"
"46","summer resident",0,"Inactivity spring"
"46","summer resident",0,"Inactivity summer"
"47","summer resident",0,"Inactivity spring"
"47","summer resident",0,"Inactivity summer"
"1","summer resident",3,"Territorial/mating spring"
"1","summer resident",0,"Territorial/mating summer"
"2","summer resident",4,"Territorial/mating spring"
"2","summer resident",0,"Territorial/mating summer"
"3","summer resident",0,"Territorial/mating spring"
"3","summer resident",0,"Territorial/mating summer"
"4","summer resident",10,"Territorial/mating spring"
"4","summer resident",0,"Territorial/mating summer"
"5","summer resident",3,"Territorial/mating spring"
"5","summer resident",0,"Territorial/mating summer"
"6","summer resident",5,"Territorial/mating spring"
"6","summer resident",0,"Territorial/mating summer"
"7","summer resident",2,"Territorial/mating spring"
"7","summer resident",0,"Territorial/mating summer"
"8","summer resident",6,"Territorial/mating spring"
"8","summer resident",0,"Territorial/mating summer"
"9","summer resident",0,"Territorial/mating spring"
"9","summer resident",0,"Territorial/mating summer"
"10","summer resident",2,"Territorial/mating spring"
"10","summer resident",0,"Territorial/mating summer"
"11","summer resident",1,"Territorial/mating spring"
"11","summer resident",0,"Territorial/mating summer"
"12","summer resident",4,"Territorial/mating spring"
"12","summer resident",0,"Territorial/mating summer"
"13","summer resident",0,"Territorial/mating spring"
"13","summer resident",0,"Territorial/mating summer"
"14","summer resident",2,"Territorial/mating spring"
"14","summer resident",0,"Territorial/mating summer"
"15","summer resident",0,"Territorial/mating spring"
"15","summer resident",0,"Territorial/mating summer"
"16","summer resident",7,"Territorial/mating spring"
"16","summer resident",0,"Territorial/mating summer"
"17","summer resident",2,"Territorial/mating spring"
"17","summer resident",0,"Territorial/mating summer"
"18","summer resident",2,"Territorial/mating spring"
"18","summer resident",0,"Territorial/mating summer"
"19","summer resident",1,"Territorial/mating spring"
"19","summer resident",0,"Territorial/mating summer"
"20","summer resident",6,"Territorial/mating spring"
"20","summer resident",0,"Territorial/mating summer"
"21","summer resident",2,"Territorial/mating spring"
"21","summer resident",0,"Territorial/mating summer"
"22","summer resident",3,"Territorial/mating spring"
"22","summer resident",0,"Territorial/mating summer"
"23","summer resident",1,"Territorial/mating spring"
"23","summer resident",0,"Territorial/mating summer"
"24","summer resident",0,"Territorial/mating spring"
"24","summer resident",0,"Territorial/mating summer"
"25","summer resident",1,"Territorial/mating spring"
"25","summer resident",0,"Territorial/mating summer"
"26","summer resident",1,"Territorial/mating spring"
"26","summer resident",0,"Territorial/mating summer"
"27","summer resident",0,"Territorial/mating spring"
"27","summer resident",0,"Territorial/mating summer"
"28","summer resident",0,"Territorial/mating spring"
"28","summer resident",0,"Territorial/mating summer"
"29","summer resident",0,"Territorial/mating spring"
"29","summer resident",0,"Territorial/mating summer"
"30","summer resident",0,"Territorial/mating spring"
"30","summer resident",0,"Territorial/mating summer"
"31","summer resident",0,"Territorial/mating spring"
"31","summer resident",0,"Territorial/mating summer"
"32","summer resident",0,"Territorial/mating spring"
"32","summer resident",0,"Territorial/mating summer"
"33","summer resident",0,"Territorial/mating spring"
"33","summer resident",0,"Territorial/mating summer"
"34","summer resident",0,"Territorial/mating spring"
"34","summer resident",0,"Territorial/mating summer"
"35","summer resident",0,"Territorial/mating spring"
"35","summer resident",0,"Territorial/mating summer"
"36","summer resident",0,"Territorial/mating spring"
"36","summer resident",0,"Territorial/mating summer"
"37","summer resident",0,"Territorial/mating spring"
"37","summer resident",0,"Territorial/mating summer"
"38","summer resident",0,"Territorial/mating spring"
"38","summer resident",0,"Territorial/mating summer"
"39","summer resident",0,"Territorial/mating spring"
"39","summer resident",1,"Territorial/mating summer"
"40","summer resident",0,"Territorial/mating spring"
"40","summer resident",0,"Territorial/mating summer"
"41","summer resident",0,"Territorial/mating spring"
"41","summer resident",0,"Territorial/mating summer"
"42","summer resident",0,"Territorial/mating spring"
"42","summer resident",0,"Territorial/mating summer"
"43","summer resident",0,"Territorial/mating spring"
"43","summer resident",0,"Territorial/mating summer"
"44","summer resident",0,"Territorial/mating spring"
"44","summer resident",0,"Territorial/mating summer"
"45","summer resident",0,"Territorial/mating spring"
"45","summer resident",0,"Territorial/mating summer"
"46","summer resident",0,"Territorial/mating spring"
"46","summer resident",0,"Territorial/mating summer"
"47","summer resident",0,"Territorial/mating spring"
"47","summer resident",0,"Territorial/mating summer"
"1","unknown",4,"Active movement spring"
"1","unknown",0,"Active movement summer"
"2","unknown",0,"Active movement spring"
"2","unknown",0,"Active movement summer"
"3","unknown",0,"Active movement spring"
"3","unknown",0,"Active movement summer"
"4","unknown",0,"Active movement spring"
"4","unknown",0,"Active movement summer"
"5","unknown",0,"Active movement spring"
"5","unknown",0,"Active movement summer"
"6","unknown",0,"Active movement spring"
"6","unknown",0,"Active movement summer"
"7","unknown",1,"Active movement spring"
"7","unknown",0,"Active movement summer"
"8","unknown",0,"Active movement spring"
"8","unknown",0,"Active movement summer"
"9","unknown",0,"Active movement spring"
"9","unknown",0,"Active movement summer"
"10","unknown",0,"Active movement spring"
"10","unknown",0,"Active movement summer"
"11","unknown",0,"Active movement spring"
"11","unknown",0,"Active movement summer"
"12","unknown",0,"Active movement spring"
"12","unknown",0,"Active movement summer"
"13","unknown",0,"Active movement spring"
"13","unknown",0,"Active movement summer"
"14","unknown",0,"Active movement spring"
"14","unknown",0,"Active movement summer"
"15","unknown",1,"Active movement spring"
"15","unknown",0,"Active movement summer"
"16","unknown",0,"Active movement spring"
"16","unknown",0,"Active movement summer"
"17","unknown",0,"Active movement spring"
"17","unknown",0,"Active movement summer"
"18","unknown",0,"Active movement spring"
"18","unknown",0,"Active movement summer"
"19","unknown",0,"Active movement spring"
"19","unknown",0,"Active movement summer"
"20","unknown",0,"Active movement spring"
"20","unknown",0,"Active movement summer"
"21","unknown",0,"Active movement spring"
"21","unknown",0,"Active movement summer"
"22","unknown",0,"Active movement spring"
"22","unknown",0,"Active movement summer"
"23","unknown",0,"Active movement spring"
"23","unknown",0,"Active movement summer"
"24","unknown",0,"Active movement spring"
"24","unknown",0,"Active movement summer"
"25","unknown",0,"Active movement spring"
"25","unknown",0,"Active movement summer"
"26","unknown",0,"Active movement spring"
"26","unknown",0,"Active movement summer"
"27","unknown",0,"Active movement spring"
"27","unknown",0,"Active movement summer"
"28","unknown",0,"Active movement spring"
"28","unknown",0,"Active movement summer"
"29","unknown",0,"Active movement spring"
"29","unknown",0,"Active movement summer"
"30","unknown",0,"Active movement spring"
"30","unknown",0,"Active movement summer"
"31","unknown",0,"Active movement spring"
"31","unknown",0,"Active movement summer"
